FlowID,Type,Src,Dst,FlowSize,FCT,Slowdown,Xput
1026,1,36,14,1464,249,1.16,100.00
983,1,47,49,24,257,7.34,100.00
1402,1,27,44,1464,257,1.20,100.00
1126,1,3,1,1464,249,1.16,100.00
2068,1,10,55,2920,397,1.00,100.00
655,1,7,48,24,38,1.09,100.00
277,1,46,12,24,36,1.03,100.00
1697,1,15,36,2920,777,1.96,100.00
1134,1,36,21,1464,249,1.16,100.00
1311,1,9,13,2920,450,1.13,100.00
2069,1,0,26,2920,397,1.00,100.00
1338,1,29,1,1464,674,3.15,100.00
2072,1,12,46,1464,215,1.00,100.00
1792,1,47,36,1464,581,2.71,100.00
1239,1,30,6,24,35,1.00,100.00
1922,1,45,32,24,36,1.03,100.00
2071,1,48,7,2920,397,1.00,100.00
492,1,24,42,1464,249,1.16,100.00
2070,1,49,47,5840,763,1.00,100.00
870,1,18,27,24,48,1.37,100.00
2073,1,32,45,1464,215,1.00,100.00
1822,1,31,34,24,38,1.09,100.00
153,1,37,1,1464,249,1.16,100.00
321,1,24,41,1464,249,1.16,100.00
1319,1,17,43,24,35,1.00,100.00
162,1,38,29,8760,1167,1.04,100.00
2017,1,59,56,62784,7894,1.00,100.00
2074,1,27,18,2920,397,1.00,100.00
2075,1,34,31,2920,397,1.00,100.00
527,1,43,62,1464,249,1.16,100.00
247,1,9,5,24,41,1.17,100.00
1351,1,17,34,24,41,1.17,100.00
1974,1,9,58,24,35,1.00,100.00
1204,1,56,19,4384,1139,1.97,100.00
243,1,38,35,2920,1327,3.34,100.00
1616,1,12,42,1464,249,1.16,100.00
689,1,59,19,1464,8043,37.58,100.00
2077,1,5,9,2920,397,1.00,100.00
536,1,56,14,1464,1208,5.64,100.00
388,1,24,49,24,35,1.00,100.00
2023,1,40,38,67160,8434,1.00,100.00
2076,1,49,56,7304,948,1.00,100.00
2078,1,58,9,2920,397,1.00,100.00
109,1,40,38,24,4146,118.46,100.00
2019,1,63,17,70080,8794,1.00,100.00
1088,1,46,57,24,36,1.03,100.00
659,1,63,10,24,5020,143.43,100.00
227,1,19,39,2920,431,1.09,100.00
1689,1,17,24,24,35,1.00,100.00
1194,1,61,59,24,36,1.03,100.00
441,1,63,15,24,4641,132.60,100.00
1104,1,42,27,24,52,1.49,100.00
1765,1,31,56,1464,7110,33.22,100.00
2079,1,38,40,1464,215,1.00,100.00
12,1,26,17,1464,748,3.50,100.00
2082,1,59,61,1464,215,1.00,100.00
2081,1,10,63,1464,239,1.12,100.00
364,1,56,26,24,36,1.03,100.00
146,1,49,23,1464,249,1.16,100.00
2083,1,27,42,1464,215,1.00,100.00
170,1,59,41,24,36,1.03,100.00
332,1,63,11,1464,4758,22.23,100.00
126,1,15,17,1464,1823,8.52,100.00
1470,1,50,38,24,43,1.23,100.00
951,1,17,44,1464,249,1.16,100.00
234,1,13,38,4384,4946,8.54,100.00
2087,1,43,17,1464,215,1.00,100.00
1944,1,23,49,1464,249,1.16,100.00
2088,1,38,50,1464,215,1.00,100.00
1874,1,31,50,24,36,1.03,100.00
2085,1,26,56,2920,397,1.00,100.00
1,1,32,8,1464,249,1.16,100.00
805,1,46,0,24,42,1.20,100.00
1190,1,53,34,27744,3542,1.01,100.00
1285,1,63,12,2920,765,1.93,100.00
1859,1,53,17,24,2353,67.23,100.00
1024,1,63,6,24,182,5.20,100.00
2084,1,15,63,2920,580,1.46,100.00
2089,1,34,17,1464,219,1.02,100.00
2090,1,50,31,1464,215,1.00,100.00
2091,1,17,53,1464,217,1.01,100.00
1195,1,23,0,24,45,1.29,100.00
1222,1,53,21,1464,3587,16.76,100.00
2092,1,6,63,1464,215,1.00,100.00
1814,1,25,8,2920,497,1.25,100.00
1803,1,59,38,4384,614,1.06,100.00
2094,1,0,23,1464,215,1.00,100.00
67,1,53,56,1464,1937,9.05,100.00
456,1,3,18,24,36,1.03,100.00
756,1,27,40,2920,448,1.13,100.00
1156,1,4,38,1464,644,3.01,100.00
2095,1,18,3,1464,215,1.00,100.00
2093,1,24,17,4384,580,1.00,100.00
1667,1,1,40,24,36,1.03,100.00
1053,1,42,39,1464,249,1.16,100.00
1767,1,63,19,24,36,1.03,100.00
2096,1,40,1,1464,216,1.01,100.00
934,1,43,41,1464,249,1.16,100.00
1661,1,15,35,24,36,1.03,100.00
1039,1,27,22,24,35,1.00,100.00
2097,1,19,63,1464,226,1.06,100.00
678,1,2,16,65704,8284,1.00,100.00
857,1,19,14,24,104,2.97,100.00
1983,1,1,3,2920,431,1.09,100.00
1120,1,2,11,24,7371,210.60,100.00
880,1,54,40,24,35,1.00,100.00
521,1,12,26,1464,249,1.16,100.00
743,1,1,22,24,402,11.49,100.00
1526,1,2,8,24,5050,144.29,100.00
1812,1,5,46,24,35,1.00,100.00
1303,1,2,17,24,4608,131.66,100.00
596,1,43,23,24,36,1.03,100.00
2098,1,35,15,1464,215,1.00,100.00
1725,1,2,48,24,3782,108.06,100.00
1712,1,2,51,24,1343,38.37,100.00
1352,1,6,1,24,38,1.09,100.00
1075,1,38,15,24,36,1.03,100.00
1044,1,30,13,24,35,1.00,100.00
2101,1,22,1,1464,219,1.02,100.00
1652,1,16,23,24,35,1.00,100.00
1452,1,56,53,24,38,1.09,100.00
119,1,10,8,1464,249,1.16,100.00
188,1,9,10,1464,249,1.16,100.00
10,1,37,32,24,36,1.03,100.00
222,1,45,18,24,36,1.03,100.00
943,1,2,26,1464,4748,22.19,100.00
762,1,20,7,2920,431,1.09,100.00
1387,1,36,60,24,36,1.03,100.00
2106,1,32,37,1464,215,1.00,100.00
2107,1,18,45,1464,215,1.00,100.00
168,1,12,25,24,36,1.03,100.00
375,1,2,3,1464,3228,15.08,100.00
402,1,20,13,1464,585,2.73,100.00
2102,1,23,43,4384,580,1.00,100.00
1625,1,10,13,24,36,1.03,100.00
1231,1,34,61,4384,614,1.06,100.00
1165,1,16,8,1464,249,1.16,100.00
2109,1,25,12,1464,215,1.00,100.00
664,1,25,56,24,154,4.40,100.00
745,1,32,39,1464,249,1.16,100.00
1811,1,2,57,1464,249,1.16,100.00
620,1,50,26,1464,249,1.16,100.00
25,1,13,29,8760,1161,1.03,100.00
1980,1,63,8,24,36,1.03,100.00
2104,1,15,38,8760,1127,1.00,100.00
171,1,5,18,2920,438,1.10,100.00
648,1,43,45,2920,431,1.09,100.00
1488,1,42,29,1464,1003,4.69,100.00
2110,1,13,10,1464,725,3.39,100.00
733,1,5,26,24,322,9.20,100.00
1294,1,13,48,24,547,15.63,100.00
771,1,40,61,1464,249,1.16,100.00
851,1,50,58,2920,589,1.48,100.00
679,1,2,41,24,35,1.00,100.00
958,1,37,42,2920,432,1.09,100.00
1573,1,63,54,24,39,1.11,100.00
1772,1,42,36,24,36,1.03,100.00
2112,1,8,63,1464,398,1.86,100.00
2113,1,48,13,1464,215,1.00,100.00
2115,1,36,42,1464,215,1.00,100.00
621,1,20,7,24,36,1.03,100.00
114,1,61,44,2920,431,1.09,100.00
262,1,12,51,1464,249,1.16,100.00
1180,1,7,39,1464,249,1.16,100.00
335,1,19,29,24,35,1.00,100.00
2055,1,60,5,65704,8253,1.00,100.00
1288,1,60,50,24,2054,58.69,100.00
753,1,4,52,2920,431,1.09,100.00
2116,1,7,20,1464,340,1.59,100.00
597,1,35,16,24,40,1.14,100.00
1280,1,38,28,7304,979,1.04,100.00
918,1,51,48,24,50,1.43,100.00
2118,1,50,60,1464,215,1.00,100.00
2108,1,60,36,1464,2054,9.60,100.00
761,1,60,13,24,1302,37.20,100.00
1409,1,15,47,24,36,1.03,100.00
1660,1,27,15,24,35,1.00,100.00
448,1,51,10,24,35,1.00,100.00
1999,1,12,41,24,40,1.14,100.00
2119,1,16,35,2920,397,1.00,100.00
2114,1,54,63,4384,1173,2.03,100.00
1538,1,42,11,1464,249,1.16,100.00
1090,1,55,51,24,39,1.11,100.00
680,1,42,32,24,251,7.17,100.00
2117,1,26,5,4384,580,1.00,100.00
2120,1,48,51,2920,401,1.01,100.00
2121,1,13,60,1464,398,1.86,100.00
2122,1,47,15,2920,397,1.00,100.00
2125,1,32,42,1464,215,1.00,100.00
334,1,25,52,1464,779,3.64,100.00
881,1,16,5,1464,2271,10.61,100.00
248,1,44,63,2920,824,2.08,100.00
1662,1,35,13,24,36,1.03,100.00
657,1,12,18,24,35,1.00,100.00
838,1,41,0,65704,8291,1.01,100.00
732,1,59,60,1464,249,1.16,100.00
2124,1,51,55,4384,580,1.00,100.00
1425,1,41,6,24,5130,146.57,100.00
1401,1,0,14,4384,625,1.08,100.00
2128,1,13,35,1464,276,1.29,100.00
56,1,63,0,1464,1231,5.75,100.00
121,1,22,42,24,36,1.03,100.00
2127,1,46,5,4384,580,1.00,100.00
495,1,32,12,24,36,1.03,100.00
1025,1,4,29,1464,249,1.16,100.00
1761,1,0,8,24,35,1.00,100.00
2129,1,6,41,2920,397,1.00,100.00
2130,1,42,22,2920,397,1.00,100.00
1169,1,22,0,2920,8523,21.47,100.00
176,1,15,52,24,40,1.14,100.00
700,1,25,63,1464,763,3.57,100.00
2131,1,12,32,4384,580,1.00,100.00
1261,1,49,59,24,43,1.23,100.00
537,1,2,8,24,35,1.00,100.00
43,1,19,40,2920,431,1.09,100.00
557,1,57,30,86144,10835,1.00,100.00
2134,1,59,49,1464,215,1.00,100.00
1539,1,47,63,24,36,1.03,100.00
1966,1,18,10,1464,249,1.16,100.00
2132,1,8,0,4384,580,1.00,100.00
2080,1,57,46,1464,6433,30.06,100.00
474,1,57,13,24,6332,180.91,100.00
90,1,12,55,2920,996,2.51,100.00
1531,1,29,15,24,36,1.03,100.00
1037,1,57,19,24,1687,48.20,100.00
1536,1,40,0,1464,730,3.41,100.00
643,1,63,20,2920,431,1.09,100.00
2137,1,0,46,1464,215,1.00,100.00
2139,1,15,29,1464,216,1.01,100.00
632,1,17,40,2920,432,1.09,100.00
909,1,12,5,1464,487,2.28,100.00
129,1,57,14,1464,6595,30.82,100.00
568,1,16,39,24,35,1.00,100.00
869,1,0,52,24,36,1.03,100.00
1558,1,23,53,24,36,1.03,100.00
174,1,30,51,24,38,1.09,100.00
2135,1,13,30,4384,580,1.00,100.00
1407,1,44,50,1464,249,1.16,100.00
772,1,6,28,1464,253,1.18,100.00
2138,1,13,57,1464,543,2.54,100.00
2142,1,51,30,1464,215,1.00,100.00
300,1,55,37,2920,431,1.09,100.00
2136,1,63,47,2920,683,1.72,100.00
875,1,3,22,2920,431,1.09,100.00
2144,1,6,30,1464,215,1.00,100.00
1254,1,32,18,1464,249,1.16,100.00
787,1,32,52,24,56,1.60,100.00
2143,1,19,57,2920,397,1.00,100.00
505,1,18,3,24,38,1.09,100.00
1921,1,4,6,24,45,1.29,100.00
1250,1,59,34,7304,983,1.04,100.00
2146,1,6,4,1464,215,1.00,100.00
2147,1,3,18,1464,215,1.00,100.00
517,1,63,19,24,36,1.03,100.00
429,1,3,47,24,77,2.20,100.00
2111,1,56,25,36504,5110,1.11,100.00
159,1,12,47,1464,253,1.18,100.00
11,1,56,19,24,511,14.60,100.00
2148,1,19,63,1464,215,1.00,100.00
995,1,11,27,125560,15990,1.02,100.00
1027,1,11,5,24,12837,366.77,100.00
1361,1,11,8,24,12217,349.06,100.00
1221,1,32,0,24,35,1.00,100.00
2149,1,47,3,2920,397,1.00,100.00
52,1,55,27,1464,8334,38.94,100.00
1005,1,24,7,2920,431,1.09,100.00
496,1,56,31,2920,1822,4.59,100.00
2150,1,5,11,2920,397,1.00,100.00
2059,1,11,24,2920,12039,30.32,100.00
145,1,11,43,24,9491,271.17,100.00
17,1,11,25,24,8179,233.69,100.00
1062,1,33,34,24,36,1.03,100.00
2126,1,10,51,30664,3869,1.00,100.00
1388,1,17,40,24,36,1.03,100.00
1246,1,37,59,24,41,1.17,100.00
1637,1,62,14,24,36,1.03,100.00
2152,1,8,11,2920,397,1.00,100.00
374,1,40,24,2920,7011,17.66,100.00
2153,1,34,33,1464,215,1.00,100.00
895,1,30,50,4384,614,1.06,100.00
1040,1,9,22,24,36,1.03,100.00
2100,1,11,2,2920,6957,17.52,100.00
2151,1,10,27,1464,753,3.52,100.00
327,1,11,29,24,3494,99.83,100.00
1443,1,57,42,24,36,1.03,100.00
2158,1,49,24,1464,215,1.00,100.00
193,1,31,35,24,36,1.03,100.00
2155,1,59,37,2920,397,1.00,100.00
2157,1,25,11,2920,399,1.01,100.00
2162,1,42,57,1464,215,1.00,100.00
2163,1,35,31,1464,215,1.00,100.00
1038,1,7,24,1464,9525,44.51,100.00
93,1,10,50,1464,249,1.16,100.00
2159,1,22,9,2920,397,1.00,100.00
2160,1,8,2,2920,397,1.00,100.00
902,1,62,45,2920,431,1.09,100.00
2164,1,43,11,1464,215,1.00,100.00
1366,1,57,28,24,36,1.03,100.00
819,1,3,22,1464,249,1.16,100.00
1050,1,31,8,24,40,1.14,100.00
2161,1,49,27,4384,716,1.24,100.00
2165,1,20,24,2920,397,1.00,100.00
21,1,11,52,2920,5040,12.70,100.00
311,1,35,61,24,38,1.09,100.00
1349,1,16,47,24,35,1.00,100.00
108,1,55,29,24,36,1.03,100.00
606,1,54,27,1464,10137,47.37,100.00
640,1,33,22,24,36,1.03,100.00
2172,1,22,27,1464,215,1.00,100.00
2154,1,40,17,10224,1434,1.10,100.00
1862,1,42,39,2920,431,1.09,100.00
1243,1,30,57,24,36,1.03,100.00
1541,1,34,24,4384,9349,16.15,100.00
2173,1,22,33,2920,533,1.34,100.00
2174,1,57,30,2920,397,1.00,100.00
572,1,16,59,24,37,1.06,100.00
372,1,22,53,24,39,1.11,100.00
906,1,12,13,24,35,1.00,100.00
1690,1,48,43,1464,264,1.23,100.00
45,1,43,60,24,38,1.09,100.00
340,1,3,53,4384,618,1.07,100.00
1478,1,62,60,1464,253,1.18,100.00
1795,1,3,20,24,266,7.60,100.00
1460,1,11,4,4384,806,1.39,100.00
654,0,18,41,21904,8533,1.97,100.00
1271,1,25,45,24,36,1.03,100.00
2176,1,60,43,2920,397,1.00,100.00
46,1,56,28,24,38,1.09,100.00
96,1,4,39,24,36,1.03,100.00
1061,1,57,9,2920,431,1.09,100.00
1879,1,50,41,24,36,1.03,100.00
2179,1,39,4,2920,397,1.00,100.00
566,0,49,25,21904,10658,2.46,61.21
147,1,62,5,2920,431,1.09,100.00
2178,1,45,25,2920,723,1.82,100.00
976,1,35,11,24,35,1.00,100.00
365,1,62,49,24,378,10.80,100.00
660,1,0,10,4384,614,1.06,100.00
417,1,57,42,1464,249,1.16,100.00
1098,1,12,39,2920,431,1.09,100.00
1565,1,31,18,7304,980,1.04,100.00
2177,1,20,3,13144,1675,1.00,100.00
1328,1,6,25,1464,403,1.88,100.00
1047,1,43,59,24,40,1.14,100.00
1773,1,42,60,4384,614,1.06,100.00
2181,1,59,43,1464,215,1.00,100.00
662,1,9,20,24,36,1.03,100.00
1535,1,7,20,24,36,1.03,100.00
1397,1,12,47,24,35,1.00,100.00
1485,1,59,28,24,243,6.94,100.00
1701,1,31,33,1464,250,1.17,100.00
1927,1,26,3,2920,431,1.09,100.00
1740,1,26,36,24,58,1.66,100.00
927,1,19,10,24,35,1.00,100.00
691,1,27,63,24,38,1.09,100.00
2182,1,20,9,2920,397,1.00,100.00
780,1,14,16,90520,17579,1.55,100.00
2185,1,39,16,1464,215,1.00,100.00
1797,1,62,9,1464,543,2.54,100.00
120,1,25,51,1464,250,1.17,100.00
464,1,49,23,24,35,1.00,100.00
2183,1,20,7,2920,792,1.99,100.00
290,1,15,9,24,35,1.00,100.00
2186,1,59,16,1464,215,1.00,100.00
30,1,59,16,24,35,1.00,100.00
359,1,39,48,24,55,1.57,100.00
49,1,18,21,24,36,1.03,100.00
2189,1,21,18,1464,215,1.00,100.00
2184,1,36,26,4384,996,1.72,100.00
2086,1,41,59,70080,13732,1.56,100.00
1734,1,40,36,24,36,1.03,100.00
2188,1,48,39,2920,397,1.00,100.00
856,1,30,34,4384,614,1.06,100.00
1605,1,21,24,1464,305,1.43,100.00
2123,1,41,12,1464,9760,45.61,100.00
2187,1,36,16,1464,639,2.99,100.00
2099,1,14,19,8760,12449,11.05,100.00
202,1,43,31,24,41,1.17,100.00
1304,1,14,16,24,12393,354.09,100.00
2190,1,16,59,2920,397,1.00,100.00
88,1,39,8,24,44,1.26,100.00
2192,1,18,12,1464,215,1.00,100.00
2193,1,47,16,1464,218,1.02,100.00
1961,1,46,19,24,36,1.03,100.00
2195,1,31,43,1464,215,1.00,100.00
1809,1,17,37,24,36,1.03,100.00
645,1,9,14,24,39,1.11,100.00
2200,1,37,17,1464,215,1.00,100.00
2166,1,41,2,4384,5608,9.69,100.00
2191,1,36,40,4384,746,1.29,100.00
2199,1,19,46,2920,397,1.00,100.00
1218,1,25,42,1464,249,1.16,100.00
70,1,34,24,24,36,1.03,100.00
2202,1,17,2,1464,215,1.00,100.00
2180,1,41,50,1464,3380,15.79,100.00
1996,1,47,51,4384,684,1.18,100.00
1491,1,0,2,1464,12733,59.50,100.00
31,1,41,30,1464,14118,65.97,100.00
859,1,4,25,1464,249,1.16,100.00
1910,1,41,28,24,36,1.03,100.00
955,1,29,49,71544,9024,1.01,100.00
1502,1,40,10,24,35,1.00,100.00
1353,1,26,15,24,36,1.03,100.00
68,1,55,40,24,35,1.00,100.00
2167,1,29,11,1464,6433,30.06,100.00
578,1,45,11,24,35,1.00,100.00
1931,1,52,61,99280,12488,1.00,100.00
77,1,3,49,2920,8613,21.70,100.00
1237,1,52,17,24,11592,331.20,100.00
683,1,41,11,1464,6502,30.38,100.00
1956,1,52,36,24,10635,303.86,100.00
127,1,47,22,24,36,1.03,100.00
1876,1,63,24,24,36,1.03,100.00
1527,1,18,33,1464,249,1.16,100.00
1559,1,56,3,24,38,1.09,100.00
2207,1,23,49,1464,215,1.00,100.00
2171,1,29,55,2920,6408,16.14,100.00
2208,1,17,52,1464,215,1.00,100.00
1248,1,34,11,1464,5010,23.41,100.00
1475,1,17,7,24,140,4.00,100.00
141,1,29,14,24,4606,131.60,100.00
2133,1,52,15,1464,10191,47.62,100.00
2209,1,22,47,1464,215,1.00,100.00
1633,1,3,40,24,36,1.03,100.00
105,1,26,8,24,48,1.37,100.00
2194,1,29,19,1464,2114,9.88,100.00
184,1,2,15,1464,9550,44.63,100.00
1853,1,27,38,1464,249,1.16,100.00
644,1,39,63,24,38,1.09,100.00
2211,1,40,55,2920,397,1.00,100.00
2212,1,36,52,2920,397,1.00,100.00
2206,1,15,26,7304,945,1.00,100.00
553,1,37,19,1464,14641,68.42,100.00
2216,1,9,15,1464,215,1.00,100.00
1464,1,16,57,24,35,1.00,100.00
594,1,50,49,4384,1104,1.91,100.00
191,1,45,14,24,48,1.37,100.00
2214,1,7,17,4384,580,1.00,100.00
773,1,56,15,1464,13318,62.23,100.00
2215,1,40,3,4384,920,1.59,100.00
904,1,55,15,1464,5189,24.25,100.00
912,1,56,53,24,184,5.26,100.00
