FlowID,FlowType,Src,Dst,FlowSize,Create,NotifTime,GrantTime,Start,Finish,FCT,Slowdown,Xput
1016,2,63,70,5840,5296,5262,5295,5296,6058,762,1.00,100.00
33,3,34,5,5840,5412,5412,5445,5446,6208,796,1.04,100.00
1017,2,26,114,5840,5579,5545,5578,5579,6341,762,1.00,100.00
43,1,75,70,24,6570,6570,-1,6570,6606,36,1.03,100.00
45,1,101,103,24,6831,6831,-1,6831,6867,36,1.03,100.00
39,3,59,19,5840,6081,6081,6114,6115,6877,796,1.04,100.00
40,3,42,73,5840,6166,6166,6199,6200,6962,796,1.04,100.00
35,3,128,114,5840,5595,5595,6325,6326,7088,1493,1.96,100.00
41,3,5,33,5840,6333,6333,6366,6367,7129,796,1.04,100.00
42,3,106,65,5840,6335,6335,6368,6369,7131,796,1.04,100.00
47,1,139,91,24,7235,7235,-1,7235,7271,36,1.03,100.00
48,1,10,76,24,7245,7245,-1,7245,7281,36,1.03,100.00
1018,2,70,75,5840,6604,6570,6603,6604,7366,762,1.00,100.00
37,3,78,138,11680,5895,5895,5928,5929,7421,1526,1.02,100.00
44,3,67,56,5840,6658,6658,6691,6692,7454,796,1.04,100.00
1019,2,103,101,5840,6865,6831,6864,6865,7627,762,1.00,100.00
46,3,131,50,5840,6878,6878,6911,6912,7674,796,1.04,100.00
1021,2,76,10,5840,7279,7245,7278,7279,8041,762,1.00,100.00
49,3,58,133,5840,7373,7373,7406,7407,8169,796,1.04,100.00
53,1,64,7,24,8187,8187,-1,8187,8225,38,1.09,100.00
50,3,116,7,5840,7663,7663,7696,7697,8463,800,1.05,100.00
56,1,97,56,24,8564,8564,-1,8564,8599,35,1.00,100.00
57,1,33,126,24,8597,8597,-1,8597,8633,36,1.03,100.00
51,3,46,111,5840,7977,7977,8010,8011,8773,796,1.04,100.00
52,3,20,58,5840,7995,7995,8028,8029,8791,796,1.04,100.00
60,1,44,35,24,8919,8919,-1,8919,8955,36,1.03,100.00
1022,2,7,64,5840,8221,8187,8220,8221,8983,762,1.00,100.00
55,3,83,65,5840,8411,8411,8444,8445,9207,796,1.04,100.00
61,1,76,72,24,9292,9292,-1,9292,9328,36,1.03,100.00
1023,2,126,33,5840,8631,8597,8630,8631,9393,762,1.00,100.00
59,3,36,23,5840,8872,8872,8905,8906,9668,796,1.04,100.00
64,1,31,77,24,9634,9634,-1,9634,9669,35,1.00,100.00
1024,2,35,44,5840,8953,8919,8952,8953,9715,762,1.00,100.00
1025,2,72,76,5840,9326,9292,9325,9326,10088,762,1.00,100.00
62,3,77,5,5840,9303,9303,9336,9337,10099,796,1.04,100.00
65,3,114,0,5840,9808,9808,9841,9842,10604,796,1.04,100.00
67,1,48,44,24,10688,10688,-1,10688,10724,36,1.03,100.00
68,1,31,120,24,10716,10716,-1,10716,10753,37,1.06,100.00
63,3,94,76,5840,9345,9345,10072,10073,10835,1490,1.96,100.00
1026,2,77,31,5840,10084,9634,10083,10084,10846,762,1.00,100.00
66,3,3,114,5840,10051,10051,10084,10085,10847,796,1.04,100.00
70,1,68,108,24,10878,10878,-1,10878,10914,36,1.03,100.00
71,1,90,33,24,11144,11144,-1,11144,11180,36,1.03,100.00
73,1,97,49,24,11373,11373,-1,11373,11409,36,1.03,100.00
1027,2,44,48,5840,10722,10688,10721,10722,11484,762,1.00,100.00
1028,2,120,31,5840,10834,10716,10833,10834,11596,762,1.00,100.00
69,3,83,20,5840,10873,10873,10906,10907,11669,796,1.04,100.00
1029,2,108,68,5840,10912,10878,10911,10912,11674,762,1.00,100.00
1030,2,33,90,5840,11178,11144,11177,11178,11940,762,1.00,100.00
72,3,115,55,5840,11202,11202,11235,11236,11998,796,1.04,100.00
77,1,51,116,24,12101,12101,-1,12101,12137,36,1.03,100.00
78,1,8,25,24,12138,12138,-1,12138,12174,36,1.03,100.00
79,1,130,80,24,12210,12210,-1,12210,12246,36,1.03,100.00
74,3,22,31,5840,11611,11611,11644,11645,12407,796,1.04,100.00
1032,2,116,51,5840,12135,12101,12134,12135,12897,762,1.00,100.00
1033,2,25,8,5840,12172,12138,12171,12172,12934,762,1.00,100.00
80,3,137,67,5840,12222,12222,12255,12256,13018,796,1.04,100.00
85,1,9,72,24,13949,13949,-1,13949,13985,36,1.03,100.00
86,1,143,69,24,13967,13967,-1,13967,14003,36,1.03,100.00
87,1,116,42,24,14025,14025,-1,14025,14061,36,1.03,100.00
83,3,74,77,5840,13305,13305,13338,13339,14101,796,1.04,100.00
88,1,36,33,24,14202,14202,-1,14202,14238,36,1.03,100.00
81,3,65,90,16064,12518,12518,12551,12552,14592,2074,1.02,100.00
92,1,86,30,24,14560,14560,-1,14560,14596,36,1.03,100.00
1035,2,72,9,5840,13983,13949,13982,13983,14745,762,1.00,100.00
1036,2,69,143,5840,14001,13967,14000,14001,14763,762,1.00,100.00
1037,2,42,116,5840,14059,14025,14058,14059,14821,762,1.00,100.00
1038,2,33,36,5840,14236,14202,14235,14236,14998,762,1.00,100.00
94,1,69,90,24,14973,14973,-1,14973,15012,39,1.11,100.00
96,1,86,142,24,15117,15117,-1,15117,15152,35,1.00,100.00
90,3,67,118,5840,14502,14502,14535,14536,15298,796,1.04,100.00
84,3,47,90,5840,13809,13809,14576,14577,15343,1534,2.01,100.00
1039,2,30,86,8760,14594,14560,14593,14594,15721,1127,1.00,100.00
93,3,4,3,5840,14945,14945,14978,14979,15741,796,1.04,100.00
99,1,9,74,24,16047,16047,-1,16047,16083,36,1.03,100.00
101,1,82,62,24,16190,16190,-1,16190,16226,36,1.03,100.00
102,1,10,28,24,16204,16204,-1,16204,16239,35,1.00,100.00
103,1,19,89,24,16303,16303,-1,16303,16339,36,1.03,100.00
1041,2,142,86,5840,15706,15117,15705,15706,16468,762,1.00,100.00
105,1,139,69,24,16780,16780,-1,16780,16818,38,1.09,100.00
1042,2,74,9,5840,16081,16047,16080,16081,16843,762,1.00,100.00
98,3,19,30,5840,16046,16046,16079,16080,16845,799,1.05,100.00
1040,2,90,69,14600,15007,14973,15006,15007,16867,1860,1.00,100.00
106,1,68,94,24,16842,16842,-1,16842,16878,36,1.03,100.00
100,3,28,91,5840,16128,16128,16161,16162,16924,796,1.04,100.00
1043,2,62,82,5840,16224,16190,16223,16224,16986,762,1.00,100.00
1044,2,89,19,5840,16337,16303,16336,16337,17099,762,1.00,100.00
97,3,33,122,16064,15391,15391,15424,15425,17465,2074,1.02,100.00
110,1,69,128,24,17590,17590,-1,17590,17626,36,1.03,100.00
1046,2,28,10,5840,16909,16204,16908,16909,17673,764,1.00,100.00
112,1,57,30,24,17678,17678,-1,17678,17714,36,1.03,100.00
113,1,127,79,24,17774,17774,-1,17774,17810,36,1.03,100.00
1004,2,88,14,129944,1735,1701,1734,1735,18011,16276,1.00,100.00
114,1,119,111,24,17989,17989,-1,17989,18025,36,1.03,100.00
116,1,108,119,24,18030,18030,-1,18030,18068,38,1.09,100.00
117,1,80,118,24,18174,18174,-1,18174,18209,35,1.00,100.00
119,1,77,102,24,18241,18241,-1,18241,18276,35,1.00,100.00
120,1,20,31,24,18317,18317,-1,18317,18353,36,1.03,100.00
1045,2,94,68,11680,16876,16842,16875,16876,18368,1492,1.00,100.00
1047,2,128,69,5840,17624,17590,17623,17624,18386,762,1.00,100.00
111,3,133,129,5840,17595,17595,17628,17629,18391,796,1.04,100.00
108,3,28,80,5840,17392,17392,17657,17658,18420,1028,1.35,100.00
1049,2,79,127,5840,17808,17774,17807,17808,18572,764,1.00,100.00
1050,2,111,119,5840,18023,17989,18022,18023,18789,766,1.01,100.00
1051,2,119,108,5840,18064,18030,18063,18064,18826,762,1.00,100.00
124,1,69,60,24,18864,18864,-1,18864,18900,36,1.03,100.00
125,1,53,0,24,18865,18865,-1,18865,18901,36,1.03,100.00
126,1,28,48,24,18953,18953,-1,18953,18989,36,1.03,100.00
118,3,63,11,5840,18239,18239,18272,18273,19036,797,1.05,100.00
1052,2,31,20,5840,18351,18317,18350,18351,19113,762,1.00,100.00
109,3,27,113,13144,17427,17427,17460,17461,19136,1709,1.02,100.00
1053,2,118,80,5840,18405,18174,18404,18405,19167,762,1.00,100.00
129,1,27,10,24,19198,19198,-1,19198,19233,35,1.00,100.00
115,3,79,27,5840,18012,18012,18556,18557,19319,1307,1.72,100.00
122,3,11,72,5840,18747,18747,18780,18781,19543,796,1.04,100.00
123,3,45,98,5840,18792,18792,18825,18826,19588,796,1.04,100.00
130,1,137,38,24,19559,19559,-1,19559,19598,39,1.11,100.00
1055,2,0,53,5840,18899,18865,18898,18899,19661,762,1.00,100.00
131,1,69,41,24,19717,19717,-1,19717,19754,37,1.06,100.00
127,3,104,38,5840,19015,19015,19048,19049,19815,800,1.05,100.00
132,1,42,72,24,19809,19809,-1,19809,19845,36,1.03,100.00
128,3,86,39,5840,19106,19106,19139,19140,19902,796,1.04,100.00
1057,2,10,27,5840,19304,19198,19303,19304,20066,762,1.00,100.00
134,1,90,93,24,20168,20168,-1,20168,20204,36,1.03,100.00
1058,2,38,137,5840,19593,19559,19592,19593,20355,762,1.00,100.00
1059,2,72,42,5840,19843,19809,19842,19843,20605,762,1.00,100.00
133,3,142,74,5840,20061,20061,20094,20095,20857,796,1.04,100.00
140,1,94,129,24,20830,20830,-1,20830,20866,36,1.03,100.00
1060,2,93,90,5840,20202,20168,20201,20202,20964,762,1.00,100.00
141,1,79,35,24,20941,20941,-1,20941,20977,36,1.03,100.00
135,3,24,75,5840,20371,20371,20404,20405,21167,796,1.04,100.00
136,3,33,70,5840,20446,20446,20479,20480,21242,796,1.04,100.00
137,3,92,95,5840,20722,20722,20755,20756,21518,796,1.04,100.00
138,3,36,143,5840,20741,20741,20774,20775,21539,798,1.05,100.00
1061,2,129,94,5840,20864,20830,20863,20864,21626,762,1.00,100.00
145,1,89,42,24,21609,21609,-1,21609,21645,36,1.03,100.00
1062,2,35,79,5840,20975,20941,20974,20975,21737,762,1.00,100.00
143,3,32,78,5840,21401,21401,21434,21435,22197,796,1.04,100.00
149,1,41,64,24,22205,22205,-1,22205,22240,35,1.00,100.00
142,3,5,95,5840,21267,21267,21502,21503,22265,998,1.31,100.00
139,3,36,26,5840,20815,20815,21523,21524,22286,1471,1.93,100.00
144,3,58,54,5840,21493,21493,21526,21527,22289,796,1.04,100.00
1063,2,42,89,5840,21643,21609,21642,21643,22405,762,1.00,100.00
151,1,115,16,24,22408,22408,-1,22408,22447,39,1.11,100.00
146,3,64,138,5840,21847,21847,21880,21881,22643,796,1.04,100.00
156,1,131,66,24,23110,23110,-1,23110,23146,36,1.03,100.00
157,1,142,24,24,23130,23130,-1,23130,23166,36,1.03,100.00
1064,2,16,115,5840,22442,22408,22441,22442,23204,762,1.00,100.00
158,1,31,15,24,23226,23226,-1,23226,23262,36,1.03,100.00
159,1,47,33,24,23325,23325,-1,23325,23361,36,1.03,100.00
152,3,140,7,5840,22575,22575,22608,22609,23371,796,1.04,100.00
153,3,107,88,5840,22650,22650,22683,22684,23446,796,1.04,100.00
160,1,22,0,24,23419,23419,-1,23419,23455,36,1.03,100.00
161,1,15,100,24,23491,23491,-1,23491,23527,36,1.03,100.00
162,1,2,17,24,23541,23541,-1,23541,23577,36,1.03,100.00
154,3,133,92,5840,22781,22781,22814,22815,23577,796,1.04,100.00
163,1,29,4,24,23568,23568,-1,23568,23604,36,1.03,100.00
1065,2,66,131,5840,23144,23110,23143,23144,23906,762,1.00,100.00
1066,2,24,142,5840,23164,23130,23163,23164,23926,762,1.00,100.00
1067,2,15,31,5840,23260,23226,23259,23260,24025,765,1.00,100.00
1068,2,33,47,5840,23359,23325,23358,23359,24121,762,1.00,100.00
167,1,72,77,24,24124,24124,-1,24124,24160,36,1.03,100.00
1069,2,0,22,5840,23453,23419,23452,23453,24215,762,1.00,100.00
169,1,100,14,24,24250,24250,-1,24250,24286,36,1.03,100.00
1070,2,100,15,5840,23525,23491,23524,23525,24290,765,1.00,100.00
170,1,111,113,24,24292,24292,-1,24292,24328,36,1.03,100.00
1071,2,17,2,5840,23575,23541,23574,23575,24337,762,1.00,100.00
1072,2,4,29,5840,23602,23568,23601,23602,24365,763,1.00,100.00
164,3,117,85,5840,23644,23644,23677,23678,24440,796,1.04,100.00
172,1,24,84,24,24458,24458,-1,24458,24494,36,1.03,100.00
174,1,47,100,24,24720,24720,-1,24720,24759,39,1.11,100.00
175,1,91,44,24,24768,24768,-1,24768,24804,36,1.03,100.00
166,3,66,26,5840,24016,24016,24049,24050,24812,796,1.04,100.00
176,1,90,0,24,24827,24827,-1,24827,24863,36,1.03,100.00
1073,2,77,72,5840,24158,24124,24157,24158,24920,762,1.00,100.00
168,3,29,65,5840,24221,24221,24254,24255,25017,796,1.04,100.00
1074,2,14,100,5840,24284,24250,24283,24284,25050,766,1.01,100.00
171,3,55,10,5840,24304,24304,24337,24338,25100,796,1.04,100.00
1076,2,84,24,5840,24492,24458,24491,24492,25254,762,1.00,100.00
179,1,36,21,24,25292,25292,-1,25292,25328,36,1.03,100.00
173,3,9,141,5840,24714,24714,24747,24748,25510,796,1.04,100.00
1077,2,100,47,5840,24754,24720,24753,24754,25516,762,1.00,100.00
1078,2,44,91,5840,24802,24768,24801,24802,25564,762,1.00,100.00
1079,2,0,90,5840,24861,24827,24860,24861,25623,762,1.00,100.00
181,1,71,48,24,25613,25613,-1,25613,25648,35,1.00,100.00
182,1,46,76,24,25699,25699,-1,25699,25735,36,1.03,100.00
177,3,67,65,5840,24846,24846,25001,25002,25764,918,1.20,100.00
183,1,102,35,24,25840,25840,-1,25840,25876,36,1.03,100.00
1080,2,21,36,5840,25326,25292,25325,25326,26088,762,1.00,100.00
185,1,2,48,24,26144,26144,-1,26144,26179,35,1.00,100.00
186,1,88,106,24,26199,26199,-1,26199,26235,36,1.03,100.00
180,3,54,112,5840,25566,25566,25599,25600,26362,796,1.04,100.00
1081,2,76,46,5840,25733,25699,25732,25733,26495,762,1.00,100.00
187,1,94,6,24,26513,26513,-1,26513,26549,36,1.03,100.00
1082,2,35,102,5840,25874,25840,25873,25874,26636,762,1.00,100.00
189,1,53,81,24,26681,26681,-1,26681,26717,36,1.03,100.00
1083,2,106,88,5840,26233,26199,26232,26233,26995,762,1.00,100.00
191,1,101,129,24,27016,27016,-1,27016,27052,36,1.03,100.00
1084,2,6,94,5840,26547,26513,26546,26547,27309,762,1.00,100.00
1085,2,81,53,5840,26715,26681,26714,26715,27477,762,1.00,100.00
190,3,109,96,5840,26737,26737,26770,26771,27533,796,1.04,100.00
196,1,17,43,24,27704,27704,-1,27704,27739,35,1.00,100.00
1086,2,129,101,5840,27050,27016,27049,27050,27812,762,1.00,100.00
192,3,88,105,5840,27059,27059,27092,27093,27855,796,1.04,100.00
193,3,143,17,5840,27275,27275,27308,27309,28071,796,1.04,100.00
194,3,18,91,5840,27317,27317,27350,27351,28113,796,1.04,100.00
197,1,11,43,24,28206,28206,-1,28206,28241,35,1.00,100.00
195,3,95,34,5840,27508,27508,27541,27542,28304,796,1.04,100.00
199,1,92,59,24,28780,28780,-1,28780,28816,36,1.03,100.00
1087,2,43,17,5840,28056,27704,28055,28056,28818,762,1.00,100.00
198,3,107,62,5840,28258,28258,28291,28292,29054,796,1.04,100.00
202,1,66,130,24,29215,29215,-1,29215,29253,38,1.09,100.00
203,1,73,122,24,29221,29221,-1,29221,29257,36,1.03,100.00
204,1,117,120,24,29228,29228,-1,29228,29265,37,1.06,100.00
1075,2,113,111,39424,24326,24292,24325,24326,29286,4960,1.00,100.00
205,1,12,42,24,29365,29365,-1,29365,29401,36,1.03,100.00
1088,2,43,11,5840,28803,28206,28802,28803,29565,762,1.00,100.00
1089,2,59,92,5840,28814,28780,28813,28814,29576,762,1.00,100.00
200,3,137,133,5840,28928,28928,28961,28962,29724,796,1.04,100.00
201,3,81,34,5840,28978,28978,29011,29012,29774,796,1.04,100.00
1090,2,130,66,5840,29249,29215,29248,29249,30011,762,1.00,100.00
1091,2,122,73,5840,29255,29221,29254,29255,30017,762,1.00,100.00
1092,2,42,12,5840,29399,29365,29398,29399,30161,762,1.00,100.00
207,1,19,39,24,30263,30263,-1,30263,30299,36,1.03,100.00
208,1,118,27,24,30400,30400,-1,30400,30436,36,1.03,100.00
209,1,7,88,24,30476,30476,-1,30476,30512,36,1.03,100.00
206,3,26,17,5840,29842,29842,29875,29876,30638,796,1.04,100.00
210,1,88,113,24,30662,30662,-1,30662,30698,36,1.03,100.00
1093,2,39,19,5840,30297,30263,30296,30297,31059,762,1.00,100.00
1094,2,27,118,5840,30434,30400,30433,30434,31196,762,1.00,100.00
1095,2,88,7,5840,30510,30476,30509,30510,31275,765,1.00,100.00
213,1,127,140,24,31377,31377,-1,31377,31413,36,1.03,100.00
214,1,46,121,24,31395,31395,-1,31395,31431,36,1.03,100.00
1096,2,113,88,5840,30696,30662,30695,30696,31458,762,1.00,100.00
211,3,119,27,5840,30730,30730,30763,30764,31526,796,1.04,100.00
218,1,49,87,24,31634,31634,-1,31634,31669,35,1.00,100.00
221,1,121,141,24,31914,31914,-1,31914,31950,36,1.03,100.00
1097,2,140,127,5840,31411,31377,31410,31411,32173,762,1.00,100.00
1098,2,121,46,5840,31429,31395,31428,31429,32196,767,1.01,100.00
222,1,56,90,24,32183,32183,-1,32183,32219,36,1.03,100.00
215,3,81,24,5840,31460,31460,31493,31494,32256,796,1.04,100.00
223,1,81,44,24,32228,32228,-1,32228,32264,36,1.03,100.00
217,3,106,91,5840,31610,31610,31643,31644,32406,796,1.04,100.00
219,3,41,134,5840,31784,31784,31820,31821,32583,799,1.05,100.00
1099,2,141,121,5840,31948,31914,31947,31948,32711,763,1.00,100.00
227,1,50,38,24,32682,32682,-1,32682,32718,36,1.03,100.00
229,1,32,136,24,32754,32754,-1,32754,32790,36,1.03,100.00
220,3,121,78,5840,31887,31887,32180,32181,32943,1056,1.39,100.00
1100,2,90,56,5840,32217,32183,32216,32217,32979,762,1.00,100.00
1101,2,44,81,5840,32262,32228,32261,32262,33024,762,1.00,100.00
224,3,75,25,5840,32249,32249,32282,32283,33045,796,1.04,100.00
225,3,28,75,5840,32264,32264,32297,32298,33060,796,1.04,100.00
233,1,31,114,24,33343,33343,-1,33343,33379,36,1.03,100.00
1102,2,38,50,5840,32716,32682,32715,32716,33478,762,1.00,100.00
228,3,23,113,5840,32689,32689,32722,32723,33485,796,1.04,100.00
1103,2,136,32,5840,32788,32754,32787,32788,33550,762,1.00,100.00
236,1,4,38,24,33657,33657,-1,33657,33693,36,1.03,100.00
231,3,89,136,5840,33205,33205,33238,33239,34001,796,1.04,100.00
232,3,63,134,5840,33232,33232,33265,33266,34028,796,1.04,100.00
238,1,91,40,24,34086,34086,-1,34086,34124,38,1.09,100.00
1104,2,114,31,5840,33377,33343,33376,33377,34139,762,1.00,100.00
234,3,46,64,5840,33439,33439,33472,33473,34235,796,1.04,100.00
239,1,87,64,24,34230,34230,-1,34230,34266,36,1.03,100.00
235,3,130,51,5840,33554,33554,33591,33592,34354,800,1.05,100.00
1105,2,38,4,5840,33691,33657,33690,33691,34453,762,1.00,100.00
230,3,123,102,13144,33100,33100,33133,33134,34809,1709,1.02,100.00
1106,2,40,91,5840,34120,34086,34119,34120,34882,762,1.00,100.00
241,1,131,82,24,34920,34920,-1,34920,34956,36,1.03,100.00
1107,2,64,87,5840,34264,34230,34263,34264,35026,762,1.00,100.00
237,3,98,24,8760,33932,33932,33965,33966,35093,1161,1.03,100.00
244,1,42,39,24,35232,35232,-1,35232,35268,36,1.03,100.00
240,3,141,91,5840,34324,34324,34866,34867,35629,1305,1.71,100.00
245,1,129,104,24,35670,35670,-1,35670,35706,36,1.03,100.00
1108,2,82,131,5840,34954,34920,34953,34954,35716,762,1.00,100.00
242,3,41,30,5840,34952,34952,34986,34987,35749,797,1.05,100.00
243,3,92,23,5840,34975,34975,35008,35009,35771,796,1.04,100.00
75,3,120,49,191264,11799,11799,11836,11837,35779,23980,1.00,100.00
1109,2,39,42,5840,35266,35232,35265,35266,36028,762,1.00,100.00
248,1,43,41,24,36005,36005,-1,36005,36045,40,1.14,100.00
249,1,63,19,24,36193,36193,-1,36193,36229,36,1.03,100.00
1110,2,104,129,5840,35704,35670,35703,35704,36466,762,1.00,100.00
250,1,140,90,24,36435,36435,-1,36435,36471,36,1.03,100.00
1111,2,120,117,5840,35764,29228,35763,35764,36526,762,1.00,100.00
246,3,1,3,5840,35801,35801,35834,35835,36599,798,1.05,100.00
251,1,143,35,24,36704,36704,-1,36704,36740,36,1.03,100.00
252,1,104,88,24,36707,36707,-1,36707,36743,36,1.03,100.00
1112,2,41,43,5840,36041,36005,36040,36041,36803,762,1.00,100.00
254,1,91,22,24,36804,36804,-1,36804,36840,36,1.03,100.00
1113,2,19,63,5840,36227,36193,36226,36227,36991,764,1.00,100.00
256,1,20,7,24,37062,37062,-1,37062,37098,36,1.03,100.00
258,1,73,74,24,37157,37157,-1,37157,37193,36,1.03,100.00
257,1,74,8,24,37156,37156,-1,37156,37195,39,1.11,100.00
1114,2,90,140,5840,36469,36435,36468,36469,37231,762,1.00,100.00
260,1,5,110,24,37201,37201,-1,37201,37237,36,1.03,100.00
247,3,1,86,5840,36002,36002,36583,36584,37346,1344,1.76,100.00
263,1,78,16,24,37362,37362,-1,37362,37402,40,1.14,100.00
264,1,98,61,24,37452,37452,-1,37452,37487,35,1.00,100.00
265,1,6,65,24,37461,37461,-1,37461,37497,36,1.03,100.00
1115,2,35,143,5840,36738,36704,36737,36738,37500,762,1.00,100.00
1116,2,88,104,5840,36741,36707,36740,36741,37503,762,1.00,100.00
266,1,37,83,24,37494,37494,-1,37494,37530,36,1.03,100.00
1117,2,22,91,5840,36838,36804,36837,36838,37600,762,1.00,100.00
268,1,94,141,24,37720,37720,-1,37720,37756,36,1.03,100.00
1118,2,7,20,5840,37096,37062,37095,37096,37858,762,1.00,100.00
272,1,101,96,24,37867,37867,-1,37867,37903,36,1.03,100.00
1119,2,8,74,5840,37190,37156,37189,37190,37952,762,1.00,100.00
1120,2,74,73,5840,37191,37157,37190,37191,37953,762,1.00,100.00
262,3,84,77,5840,37350,37350,37383,37384,38146,796,1.04,100.00
1122,2,16,78,5840,37400,37362,37399,37400,38164,764,1.00,100.00
1124,2,83,37,5840,37528,37494,37527,37528,38290,762,1.00,100.00
274,1,106,93,24,38287,38287,-1,38287,38326,39,1.11,100.00
277,1,140,89,24,38573,38573,-1,38573,38609,36,1.03,100.00
1126,2,96,101,5840,37901,37867,37900,37901,38663,762,1.00,100.00
273,3,45,82,5840,37926,37926,37959,37960,38722,796,1.04,100.00
1121,2,110,5,11680,37235,37201,37234,37235,38727,1492,1.00,100.00
278,1,32,39,24,38883,38883,-1,38883,38919,36,1.03,100.00
1127,2,93,106,5840,38321,38287,38320,38321,39083,762,1.00,100.00
275,3,36,60,5840,38299,38299,38332,38333,39095,796,1.04,100.00
1128,2,89,140,5840,38607,38573,38606,38607,39369,762,1.00,100.00
282,1,16,69,24,39363,39363,-1,39363,39400,37,1.06,100.00
1125,2,141,94,14600,37754,37720,37753,37754,39611,1857,1.00,100.00
284,1,50,90,24,39604,39604,-1,39604,39640,36,1.03,100.00
1129,2,39,32,5840,38917,38883,38916,38917,39679,762,1.00,100.00
261,3,43,87,18984,37266,37266,37299,37300,39705,2439,1.01,100.00
280,3,10,13,5840,39019,39019,39052,39053,39815,796,1.04,100.00
285,1,13,48,24,39794,39794,-1,39794,39829,35,1.00,100.00
281,3,128,2,5840,39086,39086,39119,39120,39882,796,1.04,100.00
287,1,5,18,24,39900,39900,-1,39900,39936,36,1.03,100.00
1130,2,90,50,5840,39638,39604,39637,39638,40400,762,1.00,100.00
291,1,37,106,24,40439,40439,-1,40439,40475,36,1.03,100.00
292,1,129,86,24,40528,40528,-1,40528,40564,36,1.03,100.00
293,1,95,70,24,40563,40563,-1,40563,40599,36,1.03,100.00
286,3,114,58,5840,39882,39882,39915,39916,40678,796,1.04,100.00
1131,2,18,5,5840,39934,39900,39933,39934,40696,762,1.00,100.00
288,3,107,109,5840,39995,39995,40028,40029,40791,796,1.04,100.00
295,1,124,13,24,40765,40765,-1,40765,40801,36,1.03,100.00
296,1,104,61,24,40890,40890,-1,40890,40926,36,1.03,100.00
1132,2,106,37,5840,40473,40439,40472,40473,41235,762,1.00,100.00
1133,2,86,129,5840,40562,40528,40561,40562,41324,762,1.00,100.00
